ville,pays,lat,lon,date_extraction,heure_extraction,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-01,07,2025-07-01T07:00:00+00:00,1,80.18,0.05,0.19,49.5,0.16,1.56,3.55,0.46
Cairo,EG,30.0444,31.2357,2025-07-01,07,2025-07-01T07:00:00+00:00,3,142.64,0.48,2.0,89.72,4.22,22.41,76.81,5.78
New York,US,40.7128,-74.006,2025-07-01,07,2025-07-01T07:00:00+00:00,1,124.79,0.0,2.53,56.92,0.94,4.35,6.47,0.93
Paris,FR,48.8566,2.3522,2025-07-01,07,2025-07-01T07:00:00+00:00,1,88.78,1.12,3.57,35.45,0.12,3.38,4.18,5.42
Sydney,AU,-33.8688,151.2093,2025-07-01,07,2025-07-01T07:00:00+00:00,2,68.21,0.0,0.37,70.11,0.07,0.82,1.48,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,07,2025-07-01T07:00:00+00:00,2,130.41,0.02,1.4,85.31,2.0,8.1,18.64,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,08,2025-07-01T08:00:00+00:00,1,76.88,0.04,0.14,50.22,0.15,1.38,2.99,0.4
Cairo,EG,30.0444,31.2357,2025-07-01,08,2025-07-01T08:00:00+00:00,3,140.38,0.23,1.07,105.01,4.14,24.29,81.84,4.72
New York,US,40.7128,-74.006,2025-07-01,08,2025-07-01T08:00:00+00:00,1,122.77,0.0,2.59,55.22,1.05,3.95,5.5,1.01
Paris,FR,48.8566,2.3522,2025-07-01,08,2025-07-01T08:00:00+00:00,1,87.68,1.56,3.21,34.25,0.13,3.41,4.39,5.56
Sydney,AU,-33.8688,151.2093,2025-07-01,08,2025-07-01T08:00:00+00:00,2,67.11,0.0,0.36,71.08,0.07,0.94,1.63,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,08,2025-07-01T08:00:00+00:00,2,130.63,0.02,1.59,85.37,2.03,8.31,18.93,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,09,2025-07-01T09:00:00+00:00,1,73.74,0.03,0.11,48.57,0.13,1.21,2.45,0.33
Cairo,EG,30.0444,31.2357,2025-07-01,09,2025-07-01T09:00:00+00:00,3,136.11,0.14,0.65,109.7,3.22,24.26,81.33,3.3
New York,US,40.7128,-74.006,2025-07-01,09,2025-07-01T09:00:00+00:00,1,120.75,0.0,2.7,53.37,1.15,3.77,4.93,1.06
Paris,FR,48.8566,2.3522,2025-07-01,09,2025-07-01T09:00:00+00:00,1,86.5,1.43,2.75,37.96,0.13,3.8,5.14,5.78
Sydney,AU,-33.8688,151.2093,2025-07-01,09,2025-07-01T09:00:00+00:00,2,66.29,0.0,0.3,72.28,0.08,1.16,1.94,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,09,2025-07-01T09:00:00+00:00,2,130.9,0.01,1.79,85.21,2.06,8.55,19.19,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,10,2025-07-01T10:00:00+00:00,1,67.56,0.02,0.09,51.79,0.09,0.85,1.62,0.22
Cairo,EG,30.0444,31.2357,2025-07-01,10,2025-07-01T10:00:00+00:00,3,125.71,0.06,0.28,109.48,1.23,16.22,49.86,1.44
New York,US,40.7128,-74.006,2025-07-01,10,2025-07-01T10:00:00+00:00,1,119.88,0.0,2.93,51.04,1.26,3.65,4.58,1.08
Paris,FR,48.8566,2.3522,2025-07-01,10,2025-07-01T10:00:00+00:00,2,86.74,0.25,0.98,71.18,0.18,4.69,9.78,4.07
Sydney,AU,-33.8688,151.2093,2025-07-01,10,2025-07-01T10:00:00+00:00,2,66.01,0.0,0.24,73.35,0.08,1.49,2.41,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,10,2025-07-01T10:00:00+00:00,2,130.86,0.0,1.92,84.87,2.14,8.7,19.33,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,11,2025-07-01T11:00:00+00:00,1,65.56,0.02,0.08,52.31,0.08,0.71,1.3,0.19
Cairo,EG,30.0444,31.2357,2025-07-01,11,2025-07-01T11:00:00+00:00,3,117.53,0.05,0.24,107.44,0.69,12.45,35.19,1.06
New York,US,40.7128,-74.006,2025-07-01,11,2025-07-01T11:00:00+00:00,1,120.85,0.09,3.43,47.95,1.39,3.53,4.39,1.09
Paris,FR,48.8566,2.3522,2025-07-01,11,2025-07-01T11:00:00+00:00,2,85.21,0.13,0.57,76.56,0.19,5.45,13.7,3.19
Sydney,AU,-33.8688,151.2093,2025-07-01,11,2025-07-01T11:00:00+00:00,2,65.4,0.0,0.21,73.22,0.09,1.73,2.7,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,11,2025-07-01T11:00:00+00:00,2,130.73,0.0,1.95,84.24,2.2,8.8,19.41,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,12,2025-07-01T12:00:00+00:00,1,65.23,0.02,0.08,51.26,0.08,0.68,1.22,0.19
Cairo,EG,30.0444,31.2357,2025-07-01,12,2025-07-01T12:00:00+00:00,3,114.18,0.05,0.25,106.71,0.58,11.03,29.54,0.99
New York,US,40.7128,-74.006,2025-07-01,12,2025-07-01T12:00:00+00:00,1,123.67,0.54,3.58,46.97,1.55,3.51,4.37,1.09
Paris,FR,48.8566,2.3522,2025-07-01,12,2025-07-01T12:00:00+00:00,2,84.2,0.1,0.47,77.65,0.19,6.05,16.24,2.91
Sydney,AU,-33.8688,151.2093,2025-07-01,12,2025-07-01T12:00:00+00:00,2,65.15,0.0,0.19,72.87,0.09,1.79,2.75,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,12,2025-07-01T12:00:00+00:00,2,130.71,0.0,1.95,83.64,2.21,8.94,19.53,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,13,2025-07-01T13:00:00+00:00,1,67.8,0.02,0.11,48.79,0.1,0.77,1.41,0.26
Cairo,EG,30.0444,31.2357,2025-07-01,13,2025-07-01T13:00:00+00:00,3,113.51,0.05,0.28,108.06,0.55,10.26,26.34,0.99
New York,US,40.7128,-74.006,2025-07-01,13,2025-07-01T13:00:00+00:00,1,125.92,0.32,4.43,47.61,1.68,3.58,4.36,1.01
Paris,FR,48.8566,2.3522,2025-07-01,13,2025-07-01T13:00:00+00:00,2,83.48,0.07,0.34,77.3,0.14,6.8,22.01,2.08
Sydney,AU,-33.8688,151.2093,2025-07-01,13,2025-07-01T13:00:00+00:00,2,65.64,0.0,0.18,71.89,0.09,1.79,2.72,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,13,2025-07-01T13:00:00+00:00,2,130.28,0.0,1.91,82.7,2.21,8.98,19.5,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,14,2025-07-01T14:00:00+00:00,1,72.61,0.02,0.19,45.16,0.12,0.95,1.76,0.34
Cairo,EG,30.0444,31.2357,2025-07-01,14,2025-07-01T14:00:00+00:00,3,112.0,0.05,0.31,108.7,0.55,9.84,24.78,1.0
New York,US,40.7128,-74.006,2025-07-01,14,2025-07-01T14:00:00+00:00,1,127.0,0.45,4.28,50.26,1.66,3.68,4.35,0.9
Paris,FR,48.8566,2.3522,2025-07-01,14,2025-07-01T14:00:00+00:00,2,82.36,0.06,0.31,76.77,0.1,8.17,28.85,1.52
Sydney,AU,-33.8688,151.2093,2025-07-01,14,2025-07-01T14:00:00+00:00,2,66.02,0.0,0.17,70.91,0.08,1.87,2.85,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,14,2025-07-01T14:00:00+00:00,2,129.89,0.0,1.88,81.66,2.22,8.91,19.33,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,15,2025-07-01T15:00:00+00:00,1,76.87,0.0,0.3,43.21,0.14,1.09,2.02,0.36
Cairo,EG,30.0444,31.2357,2025-07-01,15,2025-07-01T15:00:00+00:00,3,110.23,0.05,0.37,108.04,0.55,9.62,24.2,0.99
New York,US,40.7128,-74.006,2025-07-01,15,2025-07-01T15:00:00+00:00,1,127.72,0.48,3.76,56.79,1.61,3.93,4.55,0.8
Paris,FR,48.8566,2.3522,2025-07-01,15,2025-07-01T15:00:00+00:00,2,81.67,0.06,0.36,77.1,0.09,8.93,32.13,1.33
Sydney,AU,-33.8688,151.2093,2025-07-01,15,2025-07-01T15:00:00+00:00,2,66.62,0.0,0.16,71.31,0.08,2.02,3.07,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,15,2025-07-01T15:00:00+00:00,2,129.51,0.0,1.86,80.41,2.24,8.82,19.1,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,16,2025-07-01T16:00:00+00:00,1,80.22,0.0,0.35,42.18,0.15,1.18,2.18,0.37
Cairo,EG,30.0444,31.2357,2025-07-01,16,2025-07-01T16:00:00+00:00,3,108.88,0.04,0.69,105.82,0.7,9.62,25.0,1.24
New York,US,40.7128,-74.006,2025-07-01,16,2025-07-01T16:00:00+00:00,2,126.61,0.33,2.61,68.39,1.31,3.63,4.13,0.6
Paris,FR,48.8566,2.3522,2025-07-01,16,2025-07-01T16:00:00+00:00,2,82.18,0.14,0.81,75.36,0.1,9.34,33.2,1.62
Sydney,AU,-33.8688,151.2093,2025-07-01,16,2025-07-01T16:00:00+00:00,2,67.62,0.0,0.14,72.63,0.07,1.85,2.73,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,16,2025-07-01T16:00:00+00:00,2,129.12,0.0,1.82,79.25,2.2,8.8,18.96,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,17,2025-07-01T17:00:00+00:00,1,85.15,0.0,0.4,42.28,0.16,1.25,2.3,0.38
Cairo,EG,30.0444,31.2357,2025-07-01,17,2025-07-01T17:00:00+00:00,3,108.18,0.01,1.2,102.67,0.98,9.64,25.81,1.66
New York,US,40.7128,-74.006,2025-07-01,17,2025-07-01T17:00:00+00:00,2,125.09,0.22,1.87,75.22,1.1,3.62,4.1,0.52
Paris,FR,48.8566,2.3522,2025-07-01,17,2025-07-01T17:00:00+00:00,2,82.87,0.23,1.48,71.69,0.12,9.58,33.09,2.33
Sydney,AU,-33.8688,151.2093,2025-07-01,17,2025-07-01T17:00:00+00:00,2,67.67,0.0,0.15,72.09,0.07,1.54,2.26,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,17,2025-07-01T17:00:00+00:00,2,128.97,0.0,1.82,78.08,2.18,8.82,18.96,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,18,2025-07-01T18:00:00+00:00,1,88.6,0.0,0.42,42.82,0.16,1.26,2.31,0.36
Cairo,EG,30.0444,31.2357,2025-07-01,18,2025-07-01T18:00:00+00:00,2,108.99,0.0,1.47,99.93,1.17,9.59,25.82,1.97
New York,US,40.7128,-74.006,2025-07-01,18,2025-07-01T18:00:00+00:00,2,125.65,0.17,1.56,80.7,1.03,4.07,4.6,0.53
Paris,FR,48.8566,2.3522,2025-07-01,18,2025-07-01T18:00:00+00:00,2,83.65,0.21,1.96,68.88,0.14,9.79,33.34,3.03
Sydney,AU,-33.8688,151.2093,2025-07-01,18,2025-07-01T18:00:00+00:00,2,67.31,0.0,0.18,70.56,0.07,1.4,2.03,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,18,2025-07-01T18:00:00+00:00,2,128.65,0.0,1.83,76.85,2.19,8.8,18.95,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,19,2025-07-01T19:00:00+00:00,1,89.36,0.0,0.42,42.98,0.15,1.24,2.21,0.32
Cairo,EG,30.0444,31.2357,2025-07-01,19,2025-07-01T19:00:00+00:00,2,111.78,0.0,1.61,98.64,1.21,10.2,27.68,2.18
New York,US,40.7128,-74.006,2025-07-01,19,2025-07-01T19:00:00+00:00,2,127.87,0.14,1.59,85.2,1.1,4.8,5.45,0.55
Paris,FR,48.8566,2.3522,2025-07-01,19,2025-07-01T19:00:00+00:00,2,85.11,0.11,2.67,65.62,0.18,10.0,33.34,4.3
Sydney,AU,-33.8688,151.2093,2025-07-01,19,2025-07-01T19:00:00+00:00,2,67.49,0.0,0.21,69.75,0.08,1.35,1.96,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,19,2025-07-01T19:00:00+00:00,2,128.57,0.0,1.86,75.87,2.18,8.77,18.04,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,20,2025-07-01T20:00:00+00:00,1,86.69,0.0,0.39,42.86,0.14,1.13,1.91,0.26
Cairo,EG,30.0444,31.2357,2025-07-01,20,2025-07-01T20:00:00+00:00,3,120.67,0.0,1.54,101.46,1.39,12.7,35.05,2.23
New York,US,40.7128,-74.006,2025-07-01,20,2025-07-01T20:00:00+00:00,2,131.67,0.14,1.98,88.12,1.2,5.43,6.19,0.53
Paris,FR,48.8566,2.3522,2025-07-01,20,2025-07-01T20:00:00+00:00,2,87.33,0.01,3.61,60.49,0.23,10.22,32.82,6.07
Sydney,AU,-33.8688,151.2093,2025-07-01,20,2025-07-01T20:00:00+00:00,2,67.7,0.0,0.21,70.15,0.09,1.37,1.98,0.0
Tokyo,JP,35.6762,139.6503,2025-07-01,20,2025-07-01T20:00:00+00:00,2,128.86,0.0,1.9,75.22,2.12,8.78,16.93,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,21,2025-07-01T21:00:00+00:00,1,80.19,0.0,0.32,42.47,0.1,0.94,1.46,0.18
Cairo,EG,30.0444,31.2357,2025-07-01,21,2025-07-01T21:00:00+00:00,3,134.3,0.0,1.49,106.51,2.91,17.97,49.02,2.1
New York,US,40.7128,-74.006,2025-07-01,21,2025-07-01T21:00:00+00:00,2,135.66,0.13,2.67,87.96,1.2,5.5,6.31,0.45
Paris,FR,48.8566,2.3522,2025-07-01,21,2025-07-01T21:00:00+00:00,2,89.82,0.0,4.32,55.76,0.27,10.41,32.07,7.79
Sydney,AU,-33.8688,151.2093,2025-07-01,21,2025-07-01T21:00:00+00:00,2,67.88,0.0,0.23,70.7,0.09,1.34,1.85,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,21,2025-07-01T21:00:00+00:00,2,129.32,0.0,1.95,74.79,2.05,8.88,16.25,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,22,2025-07-01T22:00:00+00:00,1,73.84,0.0,0.24,43.44,0.08,0.77,1.11,0.13
Cairo,EG,30.0444,31.2357,2025-07-01,22,2025-07-01T22:00:00+00:00,3,145.86,0.0,1.69,106.85,5.82,23.67,61.42,1.89
New York,US,40.7128,-74.006,2025-07-01,22,2025-07-01T22:00:00+00:00,2,139.26,0.12,3.62,83.39,1.17,5.37,6.14,0.38
Paris,FR,48.8566,2.3522,2025-07-01,22,2025-07-01T22:00:00+00:00,2,89.96,0.0,4.82,50.06,0.28,10.41,30.74,9.35
Sydney,AU,-33.8688,151.2093,2025-07-01,22,2025-07-01T22:00:00+00:00,2,67.59,0.0,0.26,70.62,0.09,1.21,1.62,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,22,2025-07-01T22:00:00+00:00,2,130.06,0.01,2.11,74.44,2.09,8.78,14.71,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,23,2025-07-01T23:00:00+00:00,1,70.59,0.0,0.18,45.34,0.07,0.61,0.88,0.1
Cairo,EG,30.0444,31.2357,2025-07-01,23,2025-07-01T23:00:00+00:00,3,153.22,0.0,2.13,103.06,8.18,27.6,67.81,1.99
New York,US,40.7128,-74.006,2025-07-01,23,2025-07-01T23:00:00+00:00,2,142.91,0.07,4.56,77.31,1.2,5.26,5.81,0.32
Paris,FR,48.8566,2.3522,2025-07-01,23,2025-07-01T23:00:00+00:00,2,90.23,0.0,4.9,44.39,0.27,10.51,29.95,10.82
Sydney,AU,-33.8688,151.2093,2025-07-01,23,2025-07-01T23:00:00+00:00,2,67.53,0.0,0.23,69.38,0.08,1.04,1.38,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,23,2025-07-01T23:00:00+00:00,2,131.19,0.03,2.44,73.98,2.16,8.67,13.49,0.01
Antananarivo,MG,-18.8792,47.5079,2025-07-02,00,2025-07-02T00:00:00+00:00,1,68.84,0.0,0.14,47.73,0.06,0.51,0.7,0.09
Cairo,EG,30.0444,31.2357,2025-07-02,00,2025-07-02T00:00:00+00:00,3,155.42,0.0,2.52,96.11,9.5,29.81,70.44,2.13
New York,US,40.7128,-74.006,2025-07-02,00,2025-07-02T00:00:00+00:00,2,144.98,0.02,4.95,72.49,1.16,5.09,5.49,0.26
Paris,FR,48.8566,2.3522,2025-07-02,00,2025-07-02T00:00:00+00:00,2,89.88,0.0,4.69,38.48,0.25,10.57,29.33,11.86
Sydney,AU,-33.8688,151.2093,2025-07-02,00,2025-07-02T00:00:00+00:00,2,67.42,0.0,0.21,67.75,0.08,0.86,1.15,0.01
Tokyo,JP,35.6762,139.6503,2025-07-02,00,2025-07-02T00:00:00+00:00,2,132.86,0.05,2.75,73.88,2.29,8.76,13.07,0.01
Antananarivo,MG,-18.8792,47.5079,2025-07-02,01,2025-07-02T01:00:00+00:00,1,68.06,0.0,0.12,49.64,0.05,0.5,0.6,0.09
Cairo,EG,30.0444,31.2357,2025-07-02,01,2025-07-02T01:00:00+00:00,3,152.84,0.0,2.86,87.26,9.8,30.74,71.01,2.12
New York,US,40.7128,-74.006,2025-07-02,01,2025-07-02T01:00:00+00:00,2,144.58,0.0,4.73,66.96,1.04,4.87,5.2,0.19
Paris,FR,48.8566,2.3522,2025-07-02,01,2025-07-02T01:00:00+00:00,2,88.61,0.0,4.4,32.53,0.24,10.5,28.09,12.14
Sydney,AU,-33.8688,151.2093,2025-07-02,01,2025-07-02T01:00:00+00:00,2,67.48,0.01,0.22,66.05,0.07,0.73,0.99,0.01
Tokyo,JP,35.6762,139.6503,2025-07-02,01,2025-07-02T01:00:00+00:00,2,133.74,0.07,3.01,73.8,2.45,9.05,13.79,0.03
Antananarivo,MG,-18.8792,47.5079,2025-07-02,02,2025-07-02T02:00:00+00:00,1,67.58,0.0,0.12,50.49,0.05,0.5,0.55,0.09
Cairo,EG,30.0444,31.2357,2025-07-02,02,2025-07-02T02:00:00+00:00,3,150.68,0.0,3.22,79.88,9.56,31.54,72.36,2.08
New York,US,40.7128,-74.006,2025-07-02,02,2025-07-02T02:00:00+00:00,2,144.68,0.0,4.46,60.49,0.9,4.66,4.96,0.15
Paris,FR,48.8566,2.3522,2025-07-02,02,2025-07-02T02:00:00+00:00,2,89.01,0.0,4.23,29.52,0.25,10.66,26.93,12.63
Sydney,AU,-33.8688,151.2093,2025-07-02,02,2025-07-02T02:00:00+00:00,2,68.74,0.01,0.23,65.0,0.07,0.62,0.87,0.01
Tokyo,JP,35.6762,139.6503,2025-07-02,02,2025-07-02T02:00:00+00:00,2,134.42,0.09,3.21,73.49,2.62,9.36,14.99,0.06
Antananarivo,MG,-18.8792,47.5079,2025-07-02,03,2025-07-02T03:00:00+00:00,1,67.61,0.0,0.13,51.02,0.06,0.5,0.63,0.1
Cairo,EG,30.0444,31.2357,2025-07-02,03,2025-07-02T03:00:00+00:00,3,148.51,0.0,3.58,74.25,9.29,32.34,74.29,1.96
New York,US,40.7128,-74.006,2025-07-02,03,2025-07-02T03:00:00+00:00,1,145.14,0.0,4.3,55.06,0.79,4.53,4.79,0.14
Paris,FR,48.8566,2.3522,2025-07-02,03,2025-07-02T03:00:00+00:00,2,89.94,0.0,4.13,26.67,0.25,11.01,25.72,12.69
Sydney,AU,-33.8688,151.2093,2025-07-02,03,2025-07-02T03:00:00+00:00,2,70.59,0.01,0.24,64.5,0.06,0.6,0.84,0.01
Tokyo,JP,35.6762,139.6503,2025-07-02,03,2025-07-02T03:00:00+00:00,2,134.57,0.14,3.15,74.06,2.75,9.56,15.98,0.07
Antananarivo,MG,-18.8792,47.5079,2025-07-02,04,2025-07-02T04:00:00+00:00,1,69.4,0.0,0.18,51.29,0.09,0.54,0.97,0.15
Cairo,EG,30.0444,31.2357,2025-07-02,04,2025-07-02T04:00:00+00:00,3,145.39,0.03,3.96,69.31,9.12,32.85,76.13,1.85
New York,US,40.7128,-74.006,2025-07-02,04,2025-07-02T04:00:00+00:00,1,143.55,0.0,4.03,50.82,0.73,4.36,4.6,0.13
Paris,FR,48.8566,2.3522,2025-07-02,04,2025-07-02T04:00:00+00:00,2,88.95,0.01,4.14,23.48,0.24,10.9,24.01,12.38
Sydney,AU,-33.8688,151.2093,2025-07-02,04,2025-07-02T04:00:00+00:00,2,72.09,0.01,0.25,64.27,0.06,0.6,0.86,0.01
Tokyo,JP,35.6762,139.6503,2025-07-02,04,2025-07-02T04:00:00+00:00,2,134.78,0.28,2.23,80.88,2.73,10.02,17.06,0.08
Antananarivo,MG,-18.8792,47.5079,2025-07-02,05,2025-07-02T05:00:00+00:00,1,71.25,0.01,0.22,52.19,0.11,0.72,1.43,0.21
Cairo,EG,30.0444,31.2357,2025-07-02,05,2025-07-02T05:00:00+00:00,3,142.94,0.42,3.97,68.02,9.42,33.53,78.28,1.96
New York,US,40.7128,-74.006,2025-07-02,05,2025-07-02T05:00:00+00:00,1,143.8,0.0,3.85,47.88,0.74,4.3,4.56,0.14
